"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","803","Nyelv egységesítése az eladó oldalon","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestLanguageEnglish","test_language_english","",""
"","458","Nyelv egységesítése a regisztráció oldalán","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestLanguageEnglish","test_language_english","",""
"Login without password","697","Login eng tc03","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestLogin","test_login","",""
"Registration with same email","1581","Registration eng tc02","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestRegistration","test_registration","",""
"","346","Nyelv egységesítése a főoldalon","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestLanguageEnglish","test_language_english","",""
"","385","Nyelv egységesítése a bejelentkezés oldalon","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestLanguageEnglish","test_language_english","",""
"","3449","TC02 - Ingatlan törlésének visszavonása.","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestPropertyDelete","test_property_delete","",""
"","1707","Üres keresés","sprint2.POM.tests","2026-07-10","failed","2026-07-10","TestUresKerese","test_ures_kereses","",""
"Login with wrong password","711","Login eng tc05","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestLogin","test_login","",""
"TC04 - Negatív eset: Mentési kísérlet üresen hagyott ár mezővel.","5739","TC04 - Negatív eset: Mentési kísérlet üresen hagyott ár mezővel.","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestPropertyEdit","test_property_edit","",""
"Registration without first name","1576","Registration eng tc04","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestRegistration","test_registration","",""
"TC03 - Cím módosítása és mentése.","7023","TC03 - Cím módosítása és mentése.","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestPropertyEdit","test_property_edit","",""
"TC07 - Kritikus biztonsági eset: Script injection (XSS) elleni védelem ellenőrzése.","4550","TC07 - Kritikus biztonsági eset: Script injection (XSS) elleni védelem ellenőrzése.","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestPropertyEdit","test_property_edit","",""
"","11864","404-es oldal megjelenítése","sprint2.POM.tests","2026-07-10","failed","2026-07-10","TestErrorPage","test_404_page","",""
"TC05 - Negatív eset: Mentési kísérlet negatív összegű árral.","4977","TC05 - Negatív eset: Mentési kísérlet negatív összegű árral.","sprint2.POM.tests","2026-07-10","failed","2026-07-10","TestPropertyEdit","test_property_edit","",""
