"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC06 - Negatív eset: Mentési kísérlet, érvénytelen címmel.","5417","TC06 - Negatív eset: Mentési kísérlet, érvénytelen címmel.","sprint2.POM.tests","2026-07-10","failed","2026-07-10","TestPropertyEdit","test_property_edit","",""
"Registration with wrong password","1596","Registration eng tc09","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestRegistration","test_registration","",""
"","2111","Üres keresés","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestUresKerese","test_ures_kereses","",""
"Login valid - happy path","726","Login eng tc01","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestLogin","test_login","",""
"TC02 - Alapadatok módosítása és mentése.","6529","TC02 - Alapadatok módosítása és mentése.","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestPropertyEdit","test_property_edit","",""
"","518","Nyelv egységesítése a kiadó oldalon","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestLanguageEnglish","test_language_english","",""
"","377","Nyelv egységesítése a regisztráció oldalán","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestLanguageEnglish","test_language_english","",""
"Registration with invalid email","1583","Registration eng tc07","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestRegistration","test_registration","",""
"TC04 - Negatív eset: Mentési kísérlet üresen hagyott ár mezővel.","5780","TC04 - Negatív eset: Mentési kísérlet üresen hagyott ár mezővel.","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestPropertyEdit","test_property_edit","",""
"TC07 - Kritikus biztonsági eset: Script injection (XSS) elleni védelem ellenőrzése.","4551","TC07 - Kritikus biztonsági eset: Script injection (XSS) elleni védelem ellenőrzése.","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestPropertyEdit","test_property_edit","",""
"TC09 - Kritikus biztonsági eset: Stored XSS ellenőrzése frontend validáció kikerülésével.","4970","TC09 - Kritikus biztonsági eset: Stored XSS ellenőrzése frontend validáció kikerülésével.","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestPropertyEdit","test_property_edit","",""
"","3778","TC01 - Ingatlan törlés.","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestPropertyDelete","test_property_delete","",""
"Registration with wrong email confirmation","1607","Registration eng tc08","sprint2.POM.tests","2026-07-10","failed","2026-07-10","TestRegistration","test_registration","",""
"Login with wrong password","712","Login eng tc05","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestLogin","test_login","",""
"Registration - valid","1568","Registration eng tc01","sprint2.POM.tests","2026-07-10","passed","2026-07-10","TestRegistration","test_registration","",""
